,EPOCH,TRAIN_LOSS,VAL_LOSS,TRAIN_ACC,VAL_ACC,TRAIN_MCC,VAL_MCC
0,0.0,0.14341410790681838,0.0994451522447501,0.9433484375,0.95591875,0.8874075645700843,0.9141324511727427
1,1.0,0.09677779104709626,0.09469025278357183,0.9571890625,0.9571875,0.9167401997689493,0.9169471456297462
2,2.0,0.09173302047252654,0.08718359271052536,0.9586984375,0.96030625,0.9197089920515058,0.9227039925045313
3,3.0,0.0868790421307087,0.08459547669834393,0.9608125,0.96181875,0.9237993104746871,0.9258349039649907
4,4.0,0.08569728199839592,0.08725410911023238,0.96174375,0.96185,0.9256115136496135,0.9257836366751606
5,5.0,0.08351993187069894,0.08319463229672924,0.9625703125,0.9629,0.9272162177276455,0.9277229923964622
6,6.0,0.08247191157341004,0.08256725217126737,0.9631734375,0.96278125,0.9284028965419572,0.9276313978900033
7,7.0,0.08191084688305855,0.08225996514699262,0.963375,0.9628875,0.9287727881661345,0.9278137050867052
8,8.0,0.08151063294410706,0.08110114115818291,0.963690625,0.9635625,0.9293613410665652,0.9291545113512318
9,9.0,0.08064837265014649,0.08161485702938336,0.96401875,0.96350625,0.9300336933311735,0.9291129102501152
10,10.0,0.08009955844283104,0.07996735370652691,0.964315625,0.96374375,0.9305746498486746,0.9295389445423721
11,11.0,0.07960286073684693,0.08032830742893705,0.9644859375,0.96328125,0.9309180919714374,0.9285543748771234
12,12.0,0.07932869278788567,0.08066755186790114,0.964678125,0.96348125,0.9312762490474666,0.9288804225617138
13,13.0,0.07855115839242935,0.08117208214607208,0.964878125,0.9631625,0.931674820268011,0.9285759518912091
14,14.0,0.0781309383571148,0.07918433555562025,0.9653,0.96440625,0.9325072283240139,0.9307459390691208
15,15.0,0.07767119537591934,0.07887853501708644,0.965321875,0.96440625,0.9325429721375588,0.9308327310599753
16,16.0,0.07727149399518966,0.07986484755091607,0.965671875,0.96398125,0.93322120626233,0.9300149542039657
17,17.0,0.07661789698004723,0.07977358761961294,0.9659265625,0.96385,0.9337241311741927,0.9296412679685208
18,18.0,0.07784459455609322,0.08014044018497893,0.9656234375,0.96435625,0.9331127419698878,0.930718881590153
19,19.0,0.0764010537147522,0.07932175743352075,0.9658734375,0.96375,0.9336068954501531,0.9295555818510901
20,20.0,0.07589639917612076,0.07979683829530788,0.9662109375,0.96439375,0.9342801166383353,0.9307629017425441
21,21.0,0.07537781662940979,0.07893558088571402,0.9665546875,0.96473125,0.9349549925506709,0.9314529688115972
22,22.0,0.0705893846988678,0.07802380505166236,0.9682375,0.96523125,0.9382019772266349,0.9324667254899863
23,23.0,0.06962617747783661,0.07811867898911427,0.9687765625,0.96510625,0.9392597339880898,0.9322714644248805
24,24.0,0.06901551666855812,0.07893903320951826,0.9691234375,0.9649,0.9399236246332903,0.9318826991336334
25,25.0,0.06854996576309204,0.07921450293272923,0.9692984375,0.96491875,0.9402577431934386,0.9318845496886057
26,26.0,0.06810692750811577,0.07946578083429368,0.9695203125,0.96485,0.9407107327331375,0.9317350971982238
27,27.0,0.0677074939250946,0.08110976404255363,0.9697140625,0.964975,0.9410785214673544,0.9319857843465343
28,28.0,0.06734558220505714,0.08165410654560017,0.9698875,0.9645875,0.9414300117813739,0.931231272165358
29,29.0,0.06629158428311348,0.08151422481343246,0.970484375,0.96488125,0.9425936001323002,0.9317519550782424
30,30.0,0.06613821716308593,0.08159850563877707,0.9705484375,0.96488125,0.9427263046784479,0.9317518999429303
31,31.0,0.06605147951841354,0.08167671623408415,0.970640625,0.96493125,0.9428885753365975,0.9318871911082368
32,32.0,0.06598703572154045,0.08182613003500708,0.9706359375,0.9649,0.9428853988089593,0.9318282175579865
33,33.0,0.06593168733716011,0.08177878546297171,0.97068125,0.9648625,0.9430038668613022,0.9317602730947172
34,34.0,0.06587030322551728,0.08200715918829486,0.97070625,0.96475625,0.9430237227899088,0.9315547433105954
35,35.0,0.06574532405734063,0.08208344596776233,0.9707609375,0.96478125,0.9431352314521859,0.9316028935993925
36,36.0,0.06572783305048943,0.08210657814600665,0.9707703125,0.964775,0.9431496691464312,0.9315890810834877
37,37.0,0.06571807112693787,0.08212977116274986,0.970771875,0.964775,0.9431526518695377,0.9315875884151781
38,38.0,0.06571075792312622,0.0821536507243943,0.970790625,0.9648,0.9431868870144677,0.9316372017627969
39,39.0,0.06570466060638427,0.08215417862413035,0.9707984375,0.96479375,0.9432083743161018,0.9316247339314275
40,40.0,0.06569803020358085,0.08215117259959506,0.9707984375,0.96476875,0.9431992978632369,0.931575979026445
41,41.0,0.0656823529779911,0.08215358836730574,0.9708,0.96476875,0.943191098586098,0.931575979026445
42,42.0,0.06568169222474098,0.0821560928776006,0.9707953125,0.9647625,0.9431909301059448,0.9315636932640825
43,43.0,0.06568109201192855,0.0821587524738661,0.970796875,0.96475625,0.9432057111212448,0.9315517996087439
44,44.0,0.0656804939866066,0.08215971969684978,0.970803125,0.9647625,0.9432122005995243,0.9315641329294241
45,45.0,0.0656798485994339,0.08216168710095867,0.970803125,0.9647625,0.9432094913860918,0.9315641329294241
46,46.0,0.06567928093671799,0.08216369014446902,0.9707984375,0.96475625,0.943203503497354,0.9315517996087439
47,47.0,0.06567759067416191,0.08216370134406788,0.9708,0.96475625,0.943211754925847,0.9315517996087439
48,48.0,0.06567755410671235,0.08216370542527764,0.9708015625,0.96475625,0.9432213075340975,0.9315517996087439
49,49.0,0.06567751890420914,0.0821637028389296,0.9708015625,0.96475625,0.9432096198032331,0.9315517996087439
